Title,Author,Abstract,Comments,Year,Venue,DOI,Technology node,Output capacitor capacity [nF],Total capacitor capacity [nF],Active area [mm^2],Active & passive area [mm^2],Input voltage [V],Output voltage [V],Dropout voltage [V],Voltage droop [mV],Voltage overshoot [mV],Max load current [mA],Min load current [uA],Max (tested) load current change [mA],Edge time [ns],Settling time (droop) [ns],Settling time (overshoot) [ns],Quiescent current [?A],Peak current efficiency [%],Peak power efficiency [%],PSRR [dB],PSRR measurement frequency [MHz],Power-FET unit current [uA],Output ripple voltage [mV],Output voltage deadzone [mV],Output voltage error [mV],Output voltage temperature coefficient [ppm/oC],DC line regulation [mV/V],DC load regulation [mV/mA],Current Density [mA/mm^2],Load regulation FoM 1 [ps],Load regulation FoM 2 [pF],Load regulation FoM 3 [edge-adj ps],Load regulation FoM 4 [pC]
A High-Efficiency and Fast-Transient Digital-Low-Dropout Regulator with the Burst Mode Corresponding to the Power-Saving Modes of DC-DC Switching Converters,"Jian-He Lin, Yu-Sheng Ma, Chia-Ming Huang, Li-Chi Lin, Chiao-Hung Cheng, Ke-Horng Chen, Ying-Hsi Lin, Shian-Ru Lin, Tsung-Yen Tsai","In Paper 18.8, National Chiao Tung University presents a fully digital LDO in 40nm using a non-linear switch control technique to improve current efficiency by decreasing quiescent current and reducing switching power consumption with variable-switching frequency control. It achieves peak current efficiency of 99.8% at 20mA ILOAD, under 10uA quiescent current, 6mV voltage ripple, and 40mV droop (1.3?s transient response time) on a 1-to-20mA load step.",,2018,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2018.8310310,40nm CMOS,4.7,,0.18,,0.6,0.5,0.1,40,-,20,-,19,400,1300,-,19.6,99.902,83.25166667,-,-,-,3,-,3,150,-,-,-,10.20720222,0.387873684,216.5229917,4.113936842
"0.5V-VIN, 165-mA/mm2 Fully-Integrated Digital LDO based on Event-Driven Self-Triggering Control","Doyun Kim, Sung Kim, Hyunju Ham, Jongwhan Kim, Mingoo Seok","In recent digital low-drop-out (LDO) regulator designs, event-driven (ED) control achieved significantly better scaling in the output capacitor and voltage droop over Time-Driven (TD) one. The state-of-the-art ED LDO design, however, still has several drawbacks including long settling time and low current density. This paper presents a new LDO based on novel self-triggering ED control and initialization. The 0.5V digital LDO in a 65 nm achieves the best-inclass performance in the droop voltage, output capacitor size, settling time, and current density over the prior ED and TD LDOs.",,2018,VLSI,https://doi-org.ezproxy.cul.columbia.edu/10.1109/VLSIC.2018.8502272,65nm CMOS,0.1,,0.0057,0.0342,0.5,0.45,0.05,49.8,-,5.6,-,2.3,0.1,26,-,18.1,99.67678571,89.70910714,-,-,-,-,10,10,-,-,0.7,163.7426901,17.03931947,0.087089855,17.43279773,0.040095435
"The 24-Core POWER9 Processor With Adaptive Clocking, 25-Gb/s Accelerator Links, and 16-Gb/s PCIe Gen4",C. Gonzalez et al.,"The POWER9TM family of chips is fabricated in 14-nm silicon-on-insulator finFET technology using 17 levels of copper interconnect. The 695-mm 2 24-core microprocessor features a new core based on an execution slice microarchitecture. The chip contains 8 billion transistors and has 120 MB of eDRAM L3 cache. The processor features an adaptive clock strategy to reduce timing margin needed during power supply droop events by embedding analog voltage-droop monitors that direct a digital phase-locked loop to immediately reduce clock frequency in response to a droop event. The scale-out chip IO subsystem supports up to 300-GB/s accelerator bandwidth using new 25-Gb/s links, 48 lanes of PCIeGen4 totaling 192 GB/s, eight ports of 2667 MT/s DDR4, and 256 GB/s of symmetric multiprocessor (SMP) interconnect. The scale-up chip adds additional SMP bandwidth and replaces the DDR4 memory interface with eight ports of differential memory interfaces with 230 GB/s of bandwidth resulting in 12.9 Tb/s of total off-chip bandwidth.",not much information about LDO is covered,2018,JSSC,10.1109/JSSC.2017.2748623,14-nm silicon-on-insulator finFET,,,,,,,0,,,,,,,,,,,-,,,,< 5,,,,,,-,-,-,-,-
A 0.7V Fully-on-Chip Pseudo-Digital LDO Regulator with 6.3?A Quiescent Current and 100mV Dropout Voltage in 0.18-?m CMOS,J. Tang et al.,"This paper presents an NMOS pseudo-digital low-dropout (PD-LDO) regulator that supports low-voltage operation by eliminating the amplifier of an analog LDO. The proposed pseudo-digital control loop consists of a latched comparator, a 2X charge pump and a RC network. It detects the output voltage and provides a continuous gate control signal for the power transistor by charging and discharging the RC network. Fast transient response is achieved due to the source follower structure of the power NMOS, with a small output capacitor and small occupied chip area and without consuming large quiescent current. The proof-of-concept design of the proposed PD-LDO is implemented in a 0.18-J.1m CMOS process. The minimum supply voltage is 0.7 V, with a dropout voltage of 100 mV and a maximum load current of 100 mA. Using only 20 pF of on-chip output capacitor and 10 MHz comparator clock frequency, the undershoot is 106 mV with 90 mA load current step and 150 ns edge time. The quiescent current is only 6.3 ?A and the active chip area is 0.08 mm 2 .","output ripple increase with output load, but less than 15mV in all load condition.",2018,ESSCIRC,10.1109/ESSCIRC.2018.8494307,180 nm CMOS,0.03,,,0.08,0.7,0.6,0.1,106,140,100,,90,150,6000,1500,6.3,99.9937,94.44,,,,3,,,,,< 0.17,1250,0.002473333,0.000371,5.252473333,0.4727226
A 320µV-Output Ripple and 90ns-Settling Time at 0.5V Supply Digital-Analog-Hybrid LDO Using Multi-Level Gate-Voltage Generator and Fast-Decision PD Detector,Y. Lim et al.,"This work presents a digital-analog-hybrid LDO (HLDO) using a multi-level gate-voltage generator (MGG) to achieve a small output ripple (VR) and a fast-transient response. Using the MGG that can partially turn on transistors in the power MOSFET (Mp) and thus reduce Mp's LSB current, VR was limited to less than 320 ?V. Also, a fast-decision PD detector having a non-zero decision level expedited the switching of transistors in Mp, thereby reducing the settling time to less than 90 ns.",Iq calculated from reported FoM; Iq = 28 ~ 46.5 uA; FoM ps reported in paper is 40.7; passive area estimated from figure,2018,ESSCIRC,10.1109/ESSCIRC.2018.8494243,65 nm CMOS,0.3,,0.04,0.145,0.5,0.45,0.05,73,70,10,1,5,1,90,90,46.5,99.72,89.748,,,,< 0.32,,,,,0.02,68.96551724,40.734,0.4526,45.384,0.22692
A Switching Linear Regulator Based on a Fast-Self-Clocked Comparator with Very Low Probability of Meta-stability and a Parallel Analog Ripple Control Module,S. Kudva et al.,"Point of load regulators, with fast response to load transients, are becoming critical components in low power systems. Linear regulators are an area-efficient way to implement fast-response regulation as they require only the transistors and capacitors available in any standard CMOS process. This paper presents a switching linear regulator with a comparator that samples the difference between the regulated voltage and the reference (error) at 4GHz. The comparator uses a novel self-clocking scheme to achieve extremely low probability of meta-stability, even at very high clock frequency. In fast transient mode, the regulator achieves zero droop when the load current steps from <; 1mA to 170mA in 100ps. A digital ripple control mechanism, and an analog ripple control module work together to reduce the ripple on the regulated output. The regulator, fabricated in TSMC's 16nm finFET technology, achieves a peak current efficiency of 97.6% when operating at 4GHz.",,2018,CICC,10.1109/CICC.2018.8357021,16 nm finFET,2.7,3.9,0.0132,,1,0.78,0.22,0,,170,,170,0.1,0,,4180.3,97.6,76.128,,,,15.8,,,,,,-,0,0,1.2295,0.209015
A Quasi?Digital Ultra?Fast Capacitor?less Low?Dropout Regulator Based on Comparator Control for x8 Current Spike of PCRAM systems,S. Choi et al.,"This paper presents a comparator-based Quasi-Digital LDO (QDLDO) for the negative supply which has an ultra-fast transient response for the PCRAM systems. Even under the sharp spike of a load current having a peak value of 80 mA with a short rising time of 2.5 ns, the QDLDO effectively minimized a voltage spike on the output voltage, reducing it to 150 mV within only 40 ns. With I/O transistors to withstand I/O voltage stress, this LDO achieved the bestFOM of 0.042 V/um 2 , among the other state-of-the-art LDOs fabricated in more advanced technologies.","in this design, they also reported the load of sudden writing current, where det(load current)=80mA Vovershoot=150mV; Iq calculated from the reported FoM; Iq = 80 ~ 110 uA; passive area estimated from figure",2018,VLSI,10.1109/VLSIC.2018.8502348,180 nm CMOS,3,,0.041,1.361,-3.2,-3,-0.2,30,,10,,9.9,2.5,40,,110,99.1,92.90625,,,,< 10,,,,,1,7.347538575,101.010101,-0.333333333,114.8989899,1.1375
A 0.4V 430nA Quiescent Current NMOS Digital LDO with NAND-Based Analog-Assisted Loop in 28nm CMOS,"Xiaofei Ma, Yan Lu1, Rui P. Martins, Qiang Li","In Paper 18.4, the University of Macau presents a digital LDO design that exploits an NMOS power device for intrinsic response to output voltage droops, and employs a high-pass analog path with a voltagedoubled NAND gate to increase conductance during load transients. Together, these techniques enable a 5.1fs speed FoM in a 0.0055mm2 28nm LDO that provides 20mA output current with 50mV minimum dropout.",Coupling capacitor is taken as Cout; current efficiency is calculated based on dIload,2018,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2018.8310306,28nm CMOS,0.012,0.024,,0.0055,0.4,0.35,0.05,111,46,16,,15,3,408000,410000,0.43,99.99713333,87.49749167,-,-,-,-,-,-,-,-,-,2909.090909,0.0025456,0.000109097,0.0455456,0.000683184
A 0.6-to-1.1V Computationally Regulated Digital LDO with 2.79-Cycle Mean Settling Time and Autonomous Runtime Gain Tracking in 65nm CMOS,"Xun Sun, Akshat Boora, Wenbing Zhang, Venkata Rajesh Pamula, Visvesh Sathe","In Paper 14.5, the University of Washington describes computational power regulation, exploiting computing for highspeed regulation. Measurements indicate a 2.79-cycle mean settling time under nominal conditions.",Iq observed and computed from efficiency plot,2019,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2019.8662298,65nm CMOS,0.25,,0.115525,0.115525,1.1,1,0.1,46,-,16.3,-,5.6,0.1,27.9,-,976,94.01226994,85.46569994,-,-,-,-,-,-,-,-,-,141.0950011,357.9081633,2.004285714,366.622449,2.053085714
"A 745pA Hybrid Asynchronous Binary-Searching and Synchronous Linear-Searching Digital LDO with 3.8×105 Dynamic Load Range, 99.99% Current Efficiency, and 2mV Output Voltage Ripple","Shuo Li, Benton H. Calhoun","In Paper 14.6, the University of Virginia demonstrates a 65nm sub-nA, wide-dynamic-load-range digital LDO with a hybrid asynchronous binary-searching and synchronous linear-searching control scheme. The hybrid DLDO achieves 3.8×105 dynamic load range, 99.99% current efficiency, and 2mV output voltage ripple, consuming 745pA quiescent current.",,2019,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2019.8662533,65nm CMOS,100,,0.04802,-,0.5,0.45,0.05,76.5,37,0.27,0.008,0.27,500,48000,-,0.000745,99.99,89.991,-,-,-,2,-,2.7,-,-,-,-,78.17901235,0.046907407,78.86882716,0.021294583
A Modular Hybrid LDO with Fast Load-Transient Response and Programmable PSRR in 14nm CMOS Featuring Dynamic Clamp Tuning and Time-Constant Compensation,"Xiaosen Liu, Harish K. Krishnamurthy, Taesik Na, Sheldon Weng, Khondker Z. Ahmed, Krishnan Ravichandran, James Tschanz, Vivek De","In Paper 14.7, Intel presents a universal modular hybrid LDO in 14nm CMOS that can be efficiently configured to provide any desired combination of PSRR and load transient response. Measurement results demonstrate up to 42dB of PSR, drawing 27?A with zero ripple.","Reported for the high PSRR version, Iq is computed from reported FoM; high PSRR mode",2019,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2019.8662343,14nm CMOS,0.2,,,0.024,1.1,0.7,0.4,83,-,15,-,15,0.015,-,-,6.37,99.95753333,63.60933939,-30,1,-,-,-,n/a,-,-,-,625,0.469964444,0.010070667,0.473149444,0.007097242
A Modular Hybrid LDO with Fast Load-Transient Response and Programmable PSRR in 14nm CMOS Featuring Dynamic Clamp Tuning and Time-Constant Compensation,"Xiaosen Liu, Harish K. Krishnamurthy, Taesik Na, Sheldon Weng, Khondker Z. Ahmed, Krishnan Ravichandran, James Tschanz, Vivek De","In Paper 14.7, Intel presents a universal modular hybrid LDO in 14nm CMOS that can be efficiently configured to provide any desired combination of PSRR and load transient response. Measurement results demonstrate up to 42dB of PSR, drawing 27?A with zero ripple.","Reported for the high PSRR version, Iq is computed from reported FoM; high power mode",2019,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2019.8662343,14nm CMOS,4,,,0.262,1.1,0.7,0.4,133,-,530,-,506,0.015,-,-,38,99.99283019,63.63180103,-,-,-,-,-,n/a,-,-,-,2022.900763,0.078957647,0.057075099,0.079520888,0.040237569
A 0.5-1V Input Event-Driven Multiple Digital Low-Dropout-Regulator System for Supporting a Large Digital Load,"Sung Justin Kim, Dongkwun Kim, Yu Pu, Chunlei Shi, Mingoo Seok","Recent digital low-dropout regulators have demonstrated competitive load regulation performance for a digital load even with a low input voltage. However, few existing regulator designs have investigated into supporting a spatially large load with realistic grid parasitics. This paper presents a system consisting of nine digital low-drop-out regulators based on event-driven control for better supporting such load. At 0.5V (1V) input, our prototype improves the load regulation FoM by 3.9X (9.1X) and current density by 8.7X (2.8X) over the prior state of the arts.",FoM2 is scaled for 9 distributed LDOs,2019,VLSI,10.23919/VLSIC.2019.8778117,65nm CMOS,0.9,,0.067,0.3726,0.5,0.45,0.05,49.8,,92.7,,36.4,0.1,,,131.4,99.85825243,89.87242718,,,,,,n/a,,,,248.7922705,4.44492513,0.359545055,4.625419635,0.168365275
"A 0.5V-VIN, 0.29ps-Transient-FOM, and Sub-2mV-Accuracy Adaptive-Sampling Digital LDO Using Single-VCO-Based Edge-Racing Time Quantizer",J. Lee et al.,"This work presents a digital LDO using a single-VCO-based edge-racing (SVER) time quantizer to achieve fast transient and high accuracy concurrently. As the SVER scales the sampling frequency dynamically according to the magnitude of the error in the output voltage, the transient response can be improved without the increase in the power consumption in the steady state. Since the SVER uses a single VCO, the accuracy of the output can be high against local mismatches. In measurement, this LDO achieved a 0.29 ps-transient FOM and a sub-2 mV accuracy under 0.5-V supply.",Iq = 25 – 127 uA; overshoot settling time estimated from figure,2019,VLSI,10.23919/VLSIC.2019.8777999,65 nm CMOS,0.1,,,0.0488,0.5,0.45,0.05,47,28,25,,20,400,1200,500,25,99.9,89.91,,,,,,,,,0.072,512.295082,0.29375,0.013055556,250.29375,5.005875
A Single-Controller-Four-Output Analog-Assisted Digital LDO with Adaptive-Time-Multiplexing Control in 65-nm CMOS,Y. Lu et al.,"This paper presents a single-controller-four-output analog-assisted digital LDO which can regulate four output voltage domains by sharing only one digital controller with an adaptive-time-multiplexing control scheme. The area of the digital controller is 62% smaller compared to the sum of the digital controller area of four independent LDOs. An analog-assisted loop and a push-pull auxiliary loop are used to take over the control in steady state to save quiescent power, reduce output ripple and enhance the response speed. A prototype is fabricated in a 65nm CMOS process. An undershoot voltage of 100mV is measured with a 47mA/20ns load step, resulting a figure-of-merit as low as 0.12ps.",single controller four outputs. area is total area. performance is calculated for each output; settling times are estimated from figure,2019,ESSCIRC,10.1109/ESSCIRC.2019.8902511,65 nm CMOS,0.1,,0.0268,,1.2,1.15,0.05,100,100,50,,47,20,70,100,26.25,99.95,95.78541667,,,,5,,,,,,-,0.118832051,0.004856614,5.703938434,0.268085106
A Sub-1V Analog-Assisted Inverter-Based Digital Low-Dropout Regulator with a Fast Response Time at 25mA/100ps and 99.4% Current Efficiency,B. Nguyen et al.,"To mitigate large voltage droop caused by sub-ns dynamic current transitions in system on chips (SoCs), this paper proposes a fully integrated analog-assisted inverter-based digital low dropout regulator (LDO) to obtain a fast response time with 160mV droop at 25mA/100ps featuring 99.4% current efficiency, and 16mV DC load regulation in sub-1V operating range by using a dynamic-step quantizer and a trip-point controller. The proposed quantizer is implemented with an inverter-based flash ADC to achieve high speed without consuming large power while the trip-point controller corrects the DC error of the inverter-based ADC. Besides, the assistant analog LDO is employed to provide fine-grain regulation and remove ripple from the output voltage.","Iq calculated from CE; reported as ripple free, but estimated from figure output ripple ~ 10mV",2019,CICC,10.1109/CICC.2019.8780173,130 nm CMOS,0.8,,,0.118,1,0.8,0.2,160,140,26,,25,0.1,280,250,157,99.4,79.52,,,, ~ 10 mV,,,,,0.615,220.3389831,32.1536,1.0048,32.4676,0.81169
"An Analog-Proportional Digital-Integral Multi-Loop Digital LDO with Fast Reponse, Improved PSR and Zero Minimum Load Current”",M. Huang et al.,"This work presents a multi-loop digital low dropout regulator (DLDO), with analog-proportional (AP) and digital-integral (DI) controls. The DI part is implemented with shift-register-based coarse-fine tuning for good output DC accuracy and fast recovery. Meanwhile, the AP part, based on an improved low-supply flipped-voltage-follower (FVF), can response fast to the load step and supply ripple. A replica loop is used to adaptively control the AP current for a sufficient dynamic current to against supply ripple, and thus further enhances the power supply rejection (PSR). When the load current is smaller than the digital least significant bit (LSB) current, the AP part takes over the LDO control. In such case, the limit cycle oscillation (LCO) is eliminated, and no longer limits the minimum load current to be zero. Implemented in a 65nm CMOS process, a 0.38ps Figure of merit (FoM) and -22dB PSR at 1MHz are measured at 0.6V supply.",settling times are estimated from figure;,2019,CICC,10.1109/CICC.2019.8780307,65 nm CMOS,0.02,,,0.04,0.6,0.55,0.05,65,46,10,0,10,5,50000,10000,29,99.71,91.40083333,-22,1,,5,,,,,,250,0.377,0.006854545,7.627,0.07627
"A Charge-Pump-based LDO Employing an AC-Coupled High-Z Feedback Loop Towards a sub-4fs FoM and a 105,000x Stable Dynamic Current Range",X. Wang et al.,"This paper presents an event-driven charge-pumpbased digital LDO (DLDO) with an AC-coupled high-Z (ACHZ) feedback loop. The proposed DLDO responses in less than a clock cycle during load transients, achieving response and settling times of 6.9ns and 65ns, respectively, all at a 4.9?A quiescent current for a sub-4fs FoM. Thanks to the fine-tuning, sub-Vt detecting, overflow current suppressing, and g m -adjusting weighted-chargepump-based design, the ripple is measured to be <;15mV, and a 105,000x stable load range (1?A to 105mA) is obtained in a 65nm prototype.",feedback cap Cc and C1 are connected to the output with total value of 42pF; edge time can be 1ns with FoM 3.8fs; use total capacity in calculating FoM,2019,CICC,10.1109/CICC.2019.8780214,65 nm CMOS,0,0.042,,0.04,0.6,0.5,0.1,88,83,105,1,100,10,65,103,4.9,99.995,83.32916667,,,,< 15,,,,,,2625,0.00181104,0.000362208,0.24681104,0.024681104
Distributed Network of LDO Microregulators Providing Submicrosecond DVFS and IR Drop Compensation for a 24-Core Microprocessor in 14nm SOI CMOS,M. Perez et al.,"A distributed network of LDO microregulators (uREGs) senses and corrects the voltage at multiple points on a power supply grid in a multi-core microprocessor to reduce IR drops and associated performance loss. Adding a switched-capacitor (SC) accelerator to the charge pump of each uREG speeds up output voltage transitions by 17X for greater DVFS savings. Line and load regulations are 6.7mV/V and 1.5mV/A, respectively. The regulator also achieves a power efficiency of 89.9% and a current efficiency of 98.5%, while reaching a peak power density of 91.1W/mm 2","Iq calculated by CE; Vdropout,min = 0.04V; settling time estimated from figure;",2019,CICC,10.1109/CICC.2019.8780190,14 nm CMOS,481,,0.14,,1.043,0.805,0.238,20,,12000,,4900,10,80,,181218,98.5,76.02348993,,,,,,,,6.7,0.0015,-,72.60796168,441.9615059,257.5242882,1261.869012
Time-Based Digital LDO Regulator with Fractionally Controlled Power Transistor Strength and Fast Transient Response,J. Kang et al.,"The number of enabled power transistors and their ON-time of a digital low-dropout (LDO) regulator are controlled by a time-based controller. By the time-based controller consisting of two voltage-controlled oscillators (VCO) and a phase-detecting switch driver, the effective number of enabled power transistors and therefore their strength can be fractionally controlled. The transient response is greatly improved by a transient detector which selectively disables one of the two VCOs during a transient condition. At steady state, the number of switching power transistor is either zero or one, minimizing the ripple of the output voltage. Implemented in a 65 nm CMOS technology, the time-based digital LDO regulator can provide 0.5 ~ 1.1V output from 0.9 ~ 1.2V input. For the maximum load current of 19 mA, the peak current efficiency is 99.3 %. For both the step-up and -down changes of the load current by 3 mA, the voltage level of the output is stabilized in less than 90 ns.","Vdropout,min = 0.1V; reported FoM ps used load current instead of det(load current) in calculation; edge time is estimated from figure",2019,ASSCC,10.1109/A-SSCC47793.2019.9056901,65 nm CMOS,0.2,,,0.059,1.2,1,0.2,78,80,19,150,3,10,80,90,131,99.3,82.75,,,,< 7,,,,2.63,0.15,322.0338983,227.0666667,0.6812,445.4,1.3362
A 0.5-1V Input Event-Driven Multiple Digital Low-Dropout-Regulator System for Supporting a Large Digital Load,"Sung Justin Kim, Dongkwun Kim, Yu Pu, Chunlei Shi, Mingoo Seok","Recent digital low-dropout regulators have demonstrated competitive load regulation performance for a digital load even with a low input voltage. However, few existing regulator designs have investigated into supporting a spatially large load with realistic grid parasitics. This paper presents a system consisting of nine digital low-drop-out regulators based on event-driven control for better supporting such load. At 0.5V (1V) input, our prototype improves the load regulation FoM by 3.9X (9.1X) and current density by 8.7X (2.8X) over the prior state of the arts.",FoM2 is scaled for 9 distributed LDOs,2019,VLSI,10.23919/VLSIC.2019.8778117,65nm CMOS,0.9,,0.00744,0.03615,1,0.9,0.1,94.1,,416.7,,124.2,0.2,,,683.1,99.83606911,89.8524622,,,,,,n/a,,,,11526.97095,3.750362319,0.51755,4.300362319,0.534105
A Variation-Adaptive Integrated Computational Digital LDO in 22nm CMOS with Fast Transient Response,K. Ahmed et al.,"A variation-adaptive computational digital low dropout (CDLDO) regulator featuring an event-driven computational controller (CC) is presented, which computes the required number of power gates (PGs) unlike the traditional IIR filter-based control techniques to regulate the output voltage for any load/reference transient. The CC ensures ~ns transient response with a deterministic two-event duration settling time, independent of the dynamic range of the load or output capacitor value. Measurement results of a 10-bit PG design demonstrate a droop of 100 mV for 500 mA (2 A/ns di/dt) with settling times <; 20 ns. The CDLDO design is presented with the key equations and timing diagrams to show the operating principle of the concept. Methods to accommodate resiliency to process, voltage and temperature (PVT) and wide dynamic voltage frequency scaling (DVFS) conditions are also discussed in detail.",reported FoM ps=6.7 ps since they calculated with step current = 0.5A; Vin under testing is not reported but the Vdropout min = 0.05V; passive area estimated from figure,2020,JSSC,10.1109/JSSC.2019.2961854,22 nm CMOS,7,,0.165,0.98,-,0.9,-,100,95,2000,400,560,0.25,14.1,17.5,2400,99.9,95.83,,,,,,,,,,2040.816327,5.357142857,3.333333333,5.892857143,3.3
A Fully Synthesizable Distributed and Scalable All-Digital LDO in 10nm CMOS,S. Bang et al.,"Integrated LDOs cost-effectively enable fine-grain voltage regulation for digital IP blocks. A distributed LDO architecture, where a number of dispersed LDO units supply a single domain with shared power delivery network (PDN), has been recently proposed for point-of-load regulation improving both local IR-drop and transient droop response across the IP domain [1]-[3]. However, previous distributed LDOs used custom communication between a global controller and local distributed LDO controllers [1], custom communication between neighboring LDO controllers [2], and/or analog voltage sensors with associated shared VREF generation and routing [1]-[3]. This paper presents a fully synthesizable, Distributed, and scalable all-Digital LDO (D-DLDO) voltage regulator (Fig. 25.1.1) with the following salient features: (1) fast single-cycle voltage monitoring using a Digital Supply-Voltage Sensor (DSVS), (2) fast digital PID-based controller, and (3) APR-friendly and tile-able design without the need to generate or route any global or inter-LDO digital/analog signals. A test-chip is implemented with 9 DLDO units in 10nm CMOS (Fig. 25.1.7). Each DLDO unit, including its power gates (PGs), DSVS, and controller, was fully synthesized using standard library cells and industry-standard automatic placement-and-routing (APR) tools.","Iq,min is used for FoM1,2, Iq = 21000 ~ 57000 uA",2020,ISSCC,10.1109/ISSCC19947.2020.9063040,10 nm CMOS,0.534,,0.014 x 9,0.1296,1.05,0.84,0.21,200,,2740,28000,1170,0.1,,,21000,98.6,78.88,,,,,,,,,,21141.97531,1.638395792,2.282051282,2.53583169,2.966923077
"A 480mA Output-Capacitor-Free Synthesizable Digital LDO Using CMP-Triggered Oscillator and Droop Detector with 99.99% Current Efficiency, 1.3ns Response Time, and 9.8A/mm2 Current Density",J. Oh et al.,"Individual power management is required to adjust the supply voltage of intellectual properties (IPs) for better energy efficiency in a system-on-chip design [1]. For this application, integrated digital low-dropout regulators (DLDOs) are attractive with better scalability, smaller sizes of pass gates, and wider input ranges. Recently, new DLDO architectures have been presented that remove an output-decoupling capacitor [1], [2] and regulate large load currents [3], [5] while offering high current efficiency. Event-driven DLDOs achieve fast settling time with a self-clocked structure [1] and a computational controller [5]. Moreover, a modular hybrid architecture [3] and an analog-assisted loop (AA-loop) [2], [4] exhibit outstanding performance in terms of a high PSRR, low-voltage droop, and low output ripple. However, the DLDOs do not completely evade the trade-off between the size of the output capacitor and the amount of the load transient current. In this paper, the synthesizable DLDO employing a comparator (CMP)-triggered oscillator and a droop detector is presented. High current efficiency and fast response to load variation are achieved without an output capacitor. In addition, the DLDO is fully synthesized using a script-based auto place-and-route process, with the exception of only pass gates and a 210fF on-chip capacitor for droop detection. Exploiting the benefit of the capacitor-free design and the synthesizability, this work offers high current density leading to efficient integration.",Iq calculated from FoM ps; tests are performed under both 0.9V and 1V; load cap-free design; Reported FoM ps takes Ctotal as Cload and get the value of 0.00041; settling time estimated from figure,2020,ISSCC,10.1109/ISSCC19947.2020.9063018,28nm LP CMOS,0,0.00411,0.049,0.049,0.9,0.85,0.05,112,,480,,430,2,6,,164.7,99.99,94.435,,,,,,,,,,9795.918367,0.000410031,0.000207427,0.383433287,0.164876313
A 65nm Edge-Chasing Quantizer-Based Digital LDO Featuring 4.58ps-FoM and Side-Channel-Attack Resistance,Y. He et al.,"Low-Dropout Regulators (LDOs) are commonly desired for fine-grained power management in SoCs because of their compact area, high current efficiency, and small output ripple. Digital LDOs (DLDOs) are increasingly adopted in recent years thanks to voltage and process scalability. However, achieving a fast response to a load change requires a conventional synchronous DLDO to either increase its sampling frequency with a large power overhead, or include a large output capacitor (COUT) with increased chip area and cost. Various control schemes have been proposed to mitigate these drawbacks. In synchronous designs, attempts have been made to employ more complex control algorithms to achieve faster response [1], and to replace the PMOS switch array with switched capacitors for reduced dynamic energy consumption [2]. On the other hand, asynchronous DLDOs with event-driven [3] and beat-frequency VCO-based structures [4] show promise across the key performance, power and area metrics. Recently, voltage regulators are also found to be useful in enhancing the resistance of cryptographic engines and processors against power and EM side-channel attacks (SCAs) [5]-[7], which are physical attacks representing a severe threat to mobile and embedded devices. Employing regulators for SCA defense is promising because they are already used in most systems and require no modifications to existing computing architectures and algorithms like other circuit-level defenses [8]-[9]. In this paper, we present a high-performance and SCA-aware DLDO leveraging the unique properties of the Edge-Chasing Quantizer (ECQ). The 65nm DLDO prototype achieves: 1) a 101.7mV droop and 506ns settling time after a 20mA, 0.1ns step load change, with only a 0.1nF capacitor; 2) a 0.018mm2 active area and 99.4% peak current efficiency; and, 3) more than 14000× improvement in power SCA resistance on a 128b AES engine, with 27.5% area, 19.4% power, and 4.54% performance overheads over a standalone AES, and negligible overhead when compared to an AES design integrated with conventional DLDOs.",Iq = 9.8 ~ 180,2020,ISSCC,10.1109/ISSCC19947.2020.9063118,65nm LP CMOS,0.1,,0.018,0.31416,1.2,1.15,0.05,101.7,,30,,20,0.1,506,,180,99.4,95.25833333,,,,,,,,,,95.49274255,4.5765,0.079591304,5.0265,0.10053
A 0.4-to-1.2V 0.0057mm2 55fs-Transient-FoM Ring-Amplifier-Based Low-Dropout Regulator with Replica-Based PSR Enhancement,J-E. Park et al.,"Digital low-dropout regulators (DLDOs) are commonly used in low-power system-on-chips (SoCs) because of their low-voltage operation and fast transient response via the digital control of a power gate. However, the digital control of the power gate results in an output voltage ripple and a decrease in the power-supply rejection (PSR). In addition, the transient performance of DLDOs depends strongly on the operating clock frequency. Several techniques such as event-driven operation [1], VCO-embedded time-based control [2], and computed regulation [3] have been proposed to reduce the dependency on the operating clock frequency. Nonetheless, the output voltage ripple and PSR degradation of DLDOs still need to be addressed. Although an inverter-based analog LDO [4] that provides a low-voltage operation and a wide-band PSR has been proposed, as compared to DLDOs it has a slow transient response and narrow input voltage range.","Iq calculated from FoM ps; Vdropout, min = 20mV; passive area estimated from figure",2020,ISSCC,10.1109/ISSCC19947.2020.9063147,40 nm CMOS,0.09,,0.0057,0.0057,0.4,0.35,0.05,78,40,400,,1.04,10,500,500,4.4,99.96,87.465,,,,,,,,,,,28.55769231,0.084857143,49.71153846,0.0517
